Age#,Boarding point 1,Cabin,Category,Class,Destination,destination,Embarked,Gender,Name,NameRaw,Origin,Parch - Calc,parch calc 2,Passenger Id,Port,Sex,SibSp - Calc,sibsp calc2,Survived,Survived - Calc,Survived num,Ticket,Age,Dest Lat,Dest Long,Dest point,Fare,Fare Rounded,Number of Passengers,Origin Lat,Origin Lon,Origin Point,Parch,Pclass,Route,Sib Sp,Survival Percentage,SurvivedRaw,Wreck ship Latitude,Wreck ship longitude
40,Southampton,A5,Women,Third,"New York, United States",New York,S,Female,Mrs. Johan (Johanna Persdotter Larsson) Ahlin,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",Southampton,0,No,41,Southampton,female,1,Yes,Not Survived,Died,,7546,40,40.6677,-74.0407,Point,9.475,9,1,50.9167,-1.38333,Point,0,3,LineString,1,0,0,41.726931,-49.948253
26,Southampton,A5,Women,Second,"New York, United States",New York,S,Female,Mrs. William John Robert (Dorothy Ann Wonnacott) Turpin,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",Southampton,0,No,42,Southampton,female,1,Yes,Not Survived,Died,,11668,27,40.6677,-74.0407,Point,21,21,1,50.9167,-1.38333,Point,0,2,LineString,1,0,0,41.726931,-49.948253
40,Southampton,A5,Men,Third,"New York, United States",New York,C,Male,Mr. Theodor Kraeff,"Kraeff, Mr. Theodor",Southampton,0,No,43,Cherbourg,male,0,No,Not Survived,Died,,349253,40,40.6677,-74.0407,Point,7.8958,7,1,50.9167,-1.38333,Point,0,3,LineString,0,0,0,41.726931,-49.948253
2,Southampton,A5,Children,Second,"New York, United States",New York,C,Female,Miss. Simonne Marie Anne Andree Laroche,"Laroche, Miss. Simonne Marie Anne Andree",Southampton,2,Yes,44,Cherbourg,female,1,Yes,Survived,Survived,,SC/Paris 2123,3,40.6677,-74.0407,Point,41.5792,41,1,50.9167,-1.38333,Point,2,2,LineString,1,1,1,41.726931,-49.948253
18,Southampton,K5,Women,Third,"New York, United States",New York,Q,Female,Miss. Margaret Delia Devaney,"Devaney, Miss. Margaret Delia",Southampton,0,No,45,Queenstown,female,0,No,Survived,Survived,,330958,19,40.6677,-74.0407,Point,7.8792,7,1,50.9167,-1.38333,Point,0,3,LineString,0,1,1,41.726931,-49.948253
40,Southampton,K5,Men,Third,"New York, United States",New York,S,Male,Mr. William John Rogers,"Rogers, Mr. William John",Southampton,0,No,46,Southampton,male,0,No,Not Survived,Died,,S.C./A.4. 23567,40,40.6677,-74.0407,Point,8.05,8,1,50.9167,-1.38333,Point,0,3,LineString,0,0,0,41.726931,-49.948253
40,Southampton,K5,Men,Third,"New York, United States",New York,Q,Male,Mr. Denis Lennon,"Lennon, Mr. Denis",Southampton,0,No,47,Queenstown,male,1,Yes,Not Survived,Died,,370371,40,40.6677,-74.0407,Point,15.5,15,1,50.9167,-1.38333,Point,0,3,LineString,1,0,0,41.726931,-49.948253
40,Southampton,K5,Women,Third,"New York, United States",New York,Q,Female,Miss. Bridget O'Driscoll,"O'Driscoll, Miss. Bridget",Southampton,0,No,48,Queenstown,female,0,No,Survived,Survived,,14311,40,40.6677,-74.0407,Point,7.75,7,1,50.9167,-1.38333,Point,0,3,LineString,0,1,1,41.726931,-49.948253
40,Southampton,K5,Men,Third,"New York, United States",New York,C,Male,Mr. Youssef Samaan,"Samaan, Mr. Youssef",Southampton,0,No,49,Cherbourg,male,2,Yes,Not Survived,Died,,2662,40,40.6677,-74.0407,Point,21.6792,21,1,50.9167,-1.38333,Point,0,3,LineString,2,0,0,41.726931,-49.948253
18,Southampton,K5,Women,Third,"New York, United States",New York,S,Female,Mrs. Josef (Josefine Franchi) Arnold-Franchi,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",Southampton,0,No,50,Southampton,female,1,Yes,Not Survived,Died,,349237,18,40.6677,-74.0407,Point,17.8,17,1,50.9167,-1.38333,Point,0,3,LineString,1,0,0,41.726931,-49.948253
6,Southampton,K5,Children,Third,"New York, United States",New York,S,Male,Master. Juha Niilo Panula,"Panula, Master. Juha Niilo",Southampton,1,Yes,51,Southampton,male,4,Yes,Not Survived,Died,,3101295,7,40.6677,-74.0407,Point,39.6875,39,1,50.9167,-1.38333,Point,1,3,LineString,4,0,0,41.726931,-49.948253
20,Southampton,K5,Men,Third,"New York, United States",New York,S,Male,Mr. Richard Cater Nosworthy,"Nosworthy, Mr. Richard Cater",Southampton,0,No,52,Southampton,male,0,No,Not Survived,Died,,A/4. 39886,21,40.6677,-74.0407,Point,7.8,7,1,50.9167,-1.38333,Point,0,3,LineString,0,0,0,41.726931,-49.948253
48,Southampton,D33,Women,First,"New York, United States",New York,C,Female,Mrs. Henry Sleeper (Myna Haxtun) Harper,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",Southampton,0,No,53,Cherbourg,female,1,Yes,Survived,Survived,,PC 17572,49,40.6677,-74.0407,Point,76.7292,76,1,50.9167,-1.38333,Point,0,1,LineString,1,1,1,41.726931,-49.948253
28,Southampton,K5,Women,Second,"New York, United States",New York,S,Female,Mrs. Lizzie (Elizabeth Anne Wilkinson) Faunthorpe,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",Southampton,0,No,54,Southampton,female,1,Yes,Survived,Survived,,2926,29,40.6677,-74.0407,Point,26,26,1,50.9167,-1.38333,Point,0,2,LineString,1,1,1,41.726931,-49.948253
64,Southampton,B30,Men,First,"New York, United States",New York,C,Male,Mr. Engelhart Cornelius Ostby,"Ostby, Mr. Engelhart Cornelius",Southampton,1,Yes,55,Cherbourg,male,0,No,Not Survived,Died,,113509,65,40.6677,-74.0407,Point,61.9792,61,1,50.9167,-1.38333,Point,1,1,LineString,0,0,0,41.726931,-49.948253
40,Southampton,C52,Men,First,"New York, United States",New York,S,Male,Mr. Hugh Woolner,"Woolner, Mr. Hugh",Southampton,0,No,56,Southampton,male,0,No,Survived,Survived,,19947,40,40.6677,-74.0407,Point,35.5,35,1,50.9167,-1.38333,Point,0,1,LineString,0,1,1,41.726931,-49.948253
20,Southampton,K5,Women,Second,"New York, United States",New York,S,Female,Miss. Emily Rugg,"Rugg, Miss. Emily",Southampton,0,No,57,Southampton,female,0,No,Survived,Survived,,C.A. 31026,21,40.6677,-74.0407,Point,10.5,10,1,50.9167,-1.38333,Point,0,2,LineString,0,1,1,41.726931,-49.948253
,Southampton,K5,Men,Third,"New York, United States",New York,C,Male,Mr. Mansouer Novel,"Novel, Mr. Mansouer",Southampton,0,No,58,Cherbourg,male,0,No,Not Survived,Died,,2697,,40.6677,-74.0407,Point,7.2292,7,1,50.9167,-1.38333,Point,0,3,LineString,0,0,0,41.726931,-49.948253
4,Southampton,K5,Children,Second,"New York, United States",New York,S,Female,Miss. Constance Mirium West,"West, Miss. Constance Mirium",Southampton,2,Yes,59,Southampton,female,1,Yes,Survived,Survived,,C.A. 34651,5,40.6677,-74.0407,Point,27.75,27,1,50.9167,-1.38333,Point,2,2,LineString,1,1,1,41.726931,-49.948253
10,Southampton,K5,Children,Third,"New York, United States",New York,S,Male,Master. William Frederick Goodwin,"Goodwin, Master. William Frederick",Southampton,2,Yes,60,Southampton,male,5,Yes,Not Survived,Died,,CA 2144,11,40.6677,-74.0407,Point,46.9,46,1,50.9167,-1.38333,Point,2,3,LineString,5,0,0,41.726931,-49.948253
22,Southampton,K5,Men,Third,"New York, United States",New York,C,Male,Mr. Orsen Sirayanian,"Sirayanian, Mr. Orsen",Southampton,0,No,61,Cherbourg,male,0,No,Not Survived,Died,,2669,22,40.6677,-74.0407,Point,7.2292,7,1,50.9167,-1.38333,Point,0,3,LineString,0,0,0,41.726931,-49.948253
38,Southampton,B28,Women,First,"New York, United States",New York,C,Female,Miss. Amelie Icard,"Icard, Miss. Amelie",Southampton,0,No,62,Cherbourg,female,0,No,Survived,Survived,,113572,38,40.6677,-74.0407,Point,80,80,1,50.9167,-1.38333,Point,0,1,LineString,0,1,1,41.726931,-49.948253
44,Southampton,C83,Men,First,"New York, United States",New York,S,Male,Mr. Henry Birkhardt Harris,"Harris, Mr. Henry Birkhardt",Southampton,0,No,63,Southampton,male,1,Yes,Not Survived,Died,,36973,45,40.6677,-74.0407,Point,83.475,83,1,50.9167,-1.38333,Point,0,1,LineString,1,0,0,41.726931,-49.948253
4,Southampton,K5,Children,Third,"New York, United States",New York,S,Male,Master. Harald Skoog,"Skoog, Master. Harald",Southampton,2,Yes,64,Southampton,male,3,Yes,Not Survived,Died,,347088,4,40.6677,-74.0407,Point,27.9,27,1,50.9167,-1.38333,Point,2,3,LineString,3,0,0,41.726931,-49.948253
40,Southampton,K5,Men,First,"New York, United States",New York,C,Male,Mr. Albert A Stewart,"Stewart, Mr. Albert A",Southampton,0,No,65,Cherbourg,male,0,No,Not Survived,Died,,PC 17605,40,40.6677,-74.0407,Point,27.7208,27,1,50.9167,-1.38333,Point,0,1,LineString,0,0,0,41.726931,-49.948253
40,Southampton,K5,Men,Third,"New York, United States",New York,C,Male,Master. Gerios Moubarek,"Moubarek, Master. Gerios",Southampton,1,Yes,66,Cherbourg,male,1,Yes,Survived,Survived,,2661,40,40.6677,-74.0407,Point,15.2458,15,1,50.9167,-1.38333,Point,1,3,LineString,1,1,1,41.726931,-49.948253
28,Southampton,F33,Women,Second,"New York, United States",New York,S,Female,Mrs. (Elizabeth Ramell) Nye,"Nye, Mrs. (Elizabeth Ramell)",Southampton,0,No,67,Southampton,female,0,No,Survived,Survived,,C.A. 29395,29,40.6677,-74.0407,Point,10.5,10,1,50.9167,-1.38333,Point,0,2,LineString,0,1,1,41.726931,-49.948253
18,Southampton,K5,Men,Third,"New York, United States",New York,S,Male,Mr. Ernest James Crease,"Crease, Mr. Ernest James",Southampton,0,No,68,Southampton,male,0,No,Not Survived,Died,,S.P. 3464,19,40.6677,-74.0407,Point,8.1583,8,1,50.9167,-1.38333,Point,0,3,LineString,0,0,0,41.726931,-49.948253
16,Southampton,K5,Women,Third,"New York, United States",New York,S,Female,Miss. Erna Alexandra Andersson,"Andersson, Miss. Erna Alexandra",Southampton,2,Yes,69,Southampton,female,4,Yes,Survived,Survived,,3101281,17,40.6677,-74.0407,Point,7.925,7,1,50.9167,-1.38333,Point,2,3,LineString,4,1,1,41.726931,-49.948253
26,Southampton,K5,Men,Third,"New York, United States",New York,S,Male,Mr. Vincenz Kink,"Kink, Mr. Vincenz",Southampton,0,No,70,Southampton,male,2,Yes,Not Survived,Died,,315151,26,40.6677,-74.0407,Point,8.6625,8,1,50.9167,-1.38333,Point,0,3,LineString,2,0,0,41.726931,-49.948253
32,Southampton,K5,Men,Second,"New York, United States",New York,S,Male,Mr. Stephen Curnow Jenkin,"Jenkin, Mr. Stephen Curnow",Southampton,0,No,71,Southampton,male,0,No,Not Survived,Died,,C.A. 33111,32,40.6677,-74.0407,Point,10.5,10,1,50.9167,-1.38333,Point,0,2,LineString,0,0,0,41.726931,-49.948253
16,Southampton,K5,Women,Third,"New York, United States",New York,S,Female,Miss. Lillian Amy Goodwin,"Goodwin, Miss. Lillian Amy",Southampton,2,Yes,72,Southampton,female,5,Yes,Not Survived,Died,,CA 2144,16,40.6677,-74.0407,Point,46.9,46,1,50.9167,-1.38333,Point,2,3,LineString,5,0,0,41.726931,-49.948253
20,Southampton,K5,Men,Second,"New York, United States",New York,S,Male,Mr. Ambrose Jr Hood,"Hood, Mr. Ambrose Jr",Southampton,0,No,73,Southampton,male,0,No,Not Survived,Died,,S.O.C. 14879,21,40.6677,-74.0407,Point,73.5,73,1,50.9167,-1.38333,Point,0,2,LineString,0,0,0,41.726931,-49.948253
26,Southampton,K5,Men,Third,"New York, United States",New York,C,Male,Mr. Apostolos Chronopoulos,"Chronopoulos, Mr. Apostolos",Southampton,0,No,74,Cherbourg,male,1,Yes,Not Survived,Died,,2680,26,40.6677,-74.0407,Point,14.4542,14,1,50.9167,-1.38333,Point,0,3,LineString,1,0,0,41.726931,-49.948253
32,Southampton,K5,Men,Third,"New York, United States",New York,S,Male,Mr. Lee Bing,"Bing, Mr. Lee",Southampton,0,No,75,Southampton,male,0,No,Survived,Survived,,1601,32,40.6677,-74.0407,Point,56.4958,56,1,50.9167,-1.38333,Point,0,3,LineString,0,1,1,41.726931,-49.948253
24,Southampton,F G73,Men,Third,"New York, United States",New York,S,Male,Mr. Sigurd Hansen Moen,"Moen, Mr. Sigurd Hansen",Southampton,0,No,76,Southampton,male,0,No,Not Survived,Died,,348123,25,40.6677,-74.0407,Point,7.65,7,1,50.9167,-1.38333,Point,0,3,LineString,0,0,0,41.726931,-49.948253
40,Southampton,K5,Men,Third,"New York, United States",New York,S,Male,Mr. Ivan Staneff,"Staneff, Mr. Ivan",Southampton,0,No,77,Southampton,male,0,No,Not Survived,Died,,349208,40,40.6677,-74.0407,Point,7.8958,7,1,50.9167,-1.38333,Point,0,3,LineString,0,0,0,41.726931,-49.948253
40,Southampton,K5,Men,Third,"New York, United States",New York,S,Male,Mr. Rahamin Haim Moutal,"Moutal, Mr. Rahamin Haim",Southampton,0,No,78,Southampton,male,0,No,Not Survived,Died,,374746,40,40.6677,-74.0407,Point,8.05,8,1,50.9167,-1.38333,Point,0,3,LineString,0,0,0,41.726931,-49.948253
,Southampton,K5,Children,Second,"New York, United States",New York,S,Male,Master. Alden Gates Caldwell,"Caldwell, Master. Alden Gates",Southampton,2,Yes,79,Southampton,male,0,No,Survived,Survived,,248738,,40.6677,-74.0407,Point,29,29,1,50.9167,-1.38333,Point,2,2,LineString,0,1,1,41.726931,-49.948253
30,Southampton,K5,Women,Third,"New York, United States",New York,S,Female,Miss. Elizabeth Dowdell,"Dowdell, Miss. Elizabeth",Southampton,0,No,80,Southampton,female,0,No,Survived,Survived,,364516,30,40.6677,-74.0407,Point,12.475,12,1,50.9167,-1.38333,Point,0,3,LineString,0,1,1,41.726931,-49.948253
